"postcode_1","postcode_2","postcode_3"
"W6 0SL",NA,NA
"BN2 3EW","BN3 7HY",NA
"IV27 4LF","IV27 4JP",NA
"LE5",NA,NA
"CB4 2EZ",NA,NA
"TN35","TN35","Tn35"
"SS68JU",NA,NA
"WF1 3QH",NA,NA
"Uckfield","Hassocks","Lewes"
"CV34 6PX",NA,NA
"ph50 4qx",NA,NA
"Ls1",NA,NA
"sa107re",NA,NA
"OX4 1RJ",NA,NA
"SK7 1QF","WA16 7SB",NA
"IV3","IV3",NA
"BN1 1ur",NA,NA
"TW2 7QZ","TW14 8HB","TW12 2EB"
"TW27QZ","TW148HB",NA
"CT10","WCI","W1"
"AB24","KW17",NA
"SE167HS",NA,NA
"SW1V 4EB","W6 8QB",NA
"L14",NA,NA
"EC1","E9","Wc2b"
"TR166ND",NA,NA
"MK45","Mk41",NA
"NN13 6HA",NA,NA
"Rh89le",NA,NA
"BN22 0as",NA,NA
"GL50 1HX","GL51 6DJ",NA
"TD12 4NS","EH8 8AQ",NA
"BL1",NA,NA
"TA4","TA1",NA
"CF 5  1 NS","CF 11  8TF",NA
"EH4 7EY","EH52 5AF","EH12 8PG"
"ML1","ML4","G3"
"NW3 1Hl",NA,NA
"G69 6SB","G3 7PY","G51 2JY"
NA,NA,NA
"BH14",NA,NA
"OX1 5ND",NA,NA
"DN20",NA,NA
"RG12","SL4",NA
"EX1 2RN",NA,NA
"BD1","LS1","HX1"
"BN3 7HZ",NA,NA
"bn2",NA,NA
"SM6 OHA","SW12 9HL",NA
"CV1",NA,NA
"NN6 0EX",NA,NA
"Iv125ee",NA,NA
"WR14",NA,NA
NA,NA,NA
"NG11 6HE","NG24 4TS",NA
"De12 7ag",NA,NA
"LD8",NA,NA
NA,NA,NA
"Rh4 1pj",NA,NA
"DY7 6HF","DY11 5TB","DY8 1UR"
"NG13 8XD","NG1 2ED",NA
"CO14","IP1","CO15"
"Ng220jh",NA,NA
"KW1 4HW","KW10 6SE","KW10 6TQ"
"Bn3 2jp",NA,NA
"G4 OBA",NA,NA
"Y030 6BP","YO1 9TU",NA
"KT22 9DF","HP22 5SG",NA
"FK82nn","Fk82nw","fk79nu"
"FK8 2NW",NA,NA
"WC1N 3JH",NA,NA
"KW14",NA,NA
"EH87LB","EH39NH",NA
"GL1","TQ9",NA
"BB10 2PQ","BB2 3HH",NA
"M2 5 NS",NA,NA
"PL4 8AA",NA,NA
"SS16 5EU","CM1 3BX",NA
"OL1 1RU","OL3 7HJ","OL8 1XJ"
"SW7 1NE",NA,NA
"NG4 1GY","NG1 5HS",NA
"NG71RQ","NG81FG",NA
"LE3","LE11","LE67"
"RH13 5HR",NA,NA
"Bn37qp",NA,NA
"CH66",NA,NA
"Pa238pa","Pa23",NA
"DD5 2BH","DD1 4HN",NA
"Sg6 3na",NA,NA
"ml5",NA,NA
"SY8",NA,NA
"RG42 3SX","RG40 1AP","SL1"
"SG4 9NT","SG6 1JG","WC1H 8BS"
"G2 6HS","ML12 6RR",NA
"CM9 6BG",NA,NA
"BA6 9DF","BA6 9FT",NA
"GU34 2PX",NA,NA
"LE15",NA,NA
"FK1 5HY","EH49 6RH",NA
"BA6","BA16",NA
"Rh123pq","Se16eg","W1H 7FD"
"L3 5sd","L69","Ch48"
